,image,confidence,TP,FP,acc TP,acc FP,precision,recall
0,f99140e2c7d9_image,95.66%,1,0,1,0,1,0.000636537
1,2446e23969e6_image,95.42%,1,0,2,0,1,0.001273074
2,c8e548bba5f8_image,95.15%,1,0,3,0,1,0.001909612
3,b812e01902fa_image,94.78%,1,0,4,0,1,0.002546149
4,eb255becb30a_image,94.74%,1,0,5,0,1,0.003182686
5,d3885c0f58bb_image,94.70%,0,1,5,1,0.833333333,0.003182686
6,4527eb220680_image,94.70%,1,0,6,1,0.857142857,0.003819223
7,39fc79f0bd68_image,94.62%,1,0,7,1,0.875,0.004455761
8,19ac47c9643d_image,94.57%,1,0,8,1,0.888888889,0.005092298
9,66beec6db90c_image,94.51%,1,0,9,1,0.9,0.005728835
10,4fbaae87210f_image,94.49%,1,0,10,1,0.909090909,0.006365372
11,89fd7f185d77_image,94.44%,1,0,11,1,0.916666667,0.00700191
12,1a5b81d8f067_image,94.41%,1,0,12,1,0.923076923,0.007638447
13,8424b4d2578b_image,94.41%,1,0,13,1,0.928571429,0.008274984
14,ece4e66cb011_image,94.40%,1,0,14,1,0.933333333,0.008911521
15,66beec6db90c_image,94.39%,1,0,15,1,0.9375,0.009548059
16,fbbd69e1d82a_image,94.35%,1,0,16,1,0.941176471,0.010184596
17,ece4e66cb011_image,94.34%,1,0,17,1,0.944444444,0.010821133
18,fc2e09c26167_image,94.32%,1,0,18,1,0.947368421,0.01145767
19,c5970294a8c3_image,94.32%,1,0,19,1,0.95,0.012094208
20,d472f472b4e8_image,94.32%,1,0,20,1,0.952380952,0.012730745
21,f65a89690c7f_image,94.23%,1,0,21,1,0.954545455,0.013367282
22,ac92f478c77e_image,94.19%,1,0,22,1,0.956521739,0.014003819
23,3778b6ed431b_image,94.14%,1,0,23,1,0.958333333,0.014640356
24,29b8064bf6bb_image,94.04%,1,0,24,1,0.96,0.015276894
25,ee6fa7832bc5_image,94.04%,1,0,25,1,0.961538462,0.015913431
26,d472f472b4e8_image,94.03%,1,0,26,1,0.962962963,0.016549968
27,b5b50d4ebe96_image,93.98%,1,0,27,1,0.964285714,0.017186505
